"Bundesland";"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
"Burgenland";2021-01-29;0,96220576246572;0,883179073987441;1,04457031148503
"Burgenland";2021-01-30;0,899539036925094;0,822784229121413;0,979667625537681
"Burgenland";2021-01-31;0,957413939748731;0,877406538280599;1,04086230374366
"Burgenland";2021-02-01;0,99261773038936;0,910277508913742;1,0784720990353
"Burgenland";2021-02-02;0,979389095978042;0,897162857854792;1,06516898699081
"Burgenland";2021-02-03;0,987102127638875;0,904305858353604;1,07347318875749
"Burgenland";2021-02-04;1,07360415723189;0,98696702574822;1,16383400277682
"Burgenland";2021-02-05;0,994991780747559;0,911921200546142;1,08163160705917
"Burgenland";2021-02-06;1,00388430312941;0,920761351948054;1,09054805348037
"Burgenland";2021-02-07;0,947596446619978;0,866974830209039;1,03175110099025
"Burgenland";2021-02-08;0,982010681740529;0,899641473357922;1,06793624327754
"Burgenland";2021-02-09;1,00107229601986;0,917494061442434;1,08824158880273
"Burgenland";2021-02-10;1,00969161221698;0,925549498267574;1,09744203770057
"Burgenland";2021-02-11;1,04582102982482;0,960156935971156;1,13509322077151
"Burgenland";2021-02-12;1,10125633036877;1,01359228670147;1,19250432329534
"Burgenland";2021-02-13;1,04743871171668;0,962766486603607;1,13562851875658
"Burgenland";2021-02-14;1,01920726785535;0,936529687806876;1,10533206625776
"Burgenland";2021-02-15;1,01076438814712;0,928914630173757;1,09602064400699
"Burgenland";2021-02-16;1,04830328143488;0,965133892791067;1,13486100330938
"Burgenland";2021-02-17;1,04911699792511;0,966228626475375;1,13536764784744
"Burgenland";2021-02-18;1,0853484731996;1,00151997182966;1,17249804572751
"Burgenland";2021-02-19;1,10170269861058;1,01799091929861;1,18867498935179
"Burgenland";2021-02-20;1,17339566623334;1,08800945652065;1,26196147760427
"Burgenland";2021-02-21;1,09016219685252;1,00940293128836;1,17398508296218
"Burgenland";2021-02-22;1,15443447789741;1,07274512785038;1,239078746107
"Burgenland";2021-02-23;1,16596404303503;1,0853096498675;1,24946809754578
"Burgenland";2021-02-24;1,12432176022449;1,04679315306146;1,20458064034802
"Burgenland";2021-02-25;1,14574439015235;1,06902255466937;1,22508724228852
"Burgenland";2021-02-26;1,16039307736849;1,08464263586169;1,2386641130404
"Burgenland";2021-02-27;1,0985441614581;1,026382312203;1,17312274104674
"Burgenland";2021-02-28;1,15105712333072;1,0784880531838;1,22595555963248
"Burgenland";2021-03-01;1,12883983536597;1,05826238568991;1,20166330014556
"Burgenland";2021-03-02;1,12775634288527;1,05852266174154;1,19915212924228
"Burgenland";2021-03-03;1,12767846065119;1,05969099266023;1,19774984868528
"Burgenland";2021-03-04;1,13961372063365;1,07246831176987;1,20876902931528
"Burgenland";2021-03-05;1,1078748258057;1,04289669337738;1,17478885726769
"Burgenland";2021-03-06;1,07956811923048;1,01653591148439;1,1444695205691
"Burgenland";2021-03-07;1,11579953510674;1,05258551370515;1,18083086941383
"Burgenland";2021-03-08;1,12117113833492;1,05867690578113;1,18543218786221
"Burgenland";2021-03-09;1,15148901853916;1,08914352148438;1,21554522098944
"Burgenland";2021-03-10;1,14091098158594;1,08000349479306;1,20346566038405
"Burgenland";2021-03-11;1,14077337187705;1,0810728341049;1,20205579832729
